system:index,aspct_16_10_B0,aspct_32_10_B0,aspct_4_10_B0,ca_10000_1_B0,ca_10_1_B0,ci_16_100_B0,ci_32_100_B0,ci_4_100_B0,crosc_16_1M_B0,crosc_32_1M_B0,crosc_4_1M_B0,dah_10k_B0,devmeanelev_16_1k_B0,devmeanelev_32_1k_B0,devmeanelev_4_1k_B0,dfa_10_B0,diffmeanelev_16_100_B0,diffmeanelev_32_100_B0,diffmeanelev_4_100_B0,diffopen_256_100k_B0,diffopen_2_100k_B0,diffopen_32_100k_B0,dis_100_B0,fel_1_B0,gmrph_ms_300_1_B0,gmrph_ms_30_1_B0,gmrph_r_3000_1_B0,gmrph_r_300_1_B0,gmrph_r_30_1_B0,hs_st_100_B0,latitude,longc_16_1M_B0,longc_32_1M_B0,longc_4_1M_B0,longitude,maxc_16_1M_B0,maxc_32_1M_B0,maxc_4_1M_B0,mbi_0p001_10k_B0,mbi_0p01_10k_B0,mbi_0p1_100k_B0,mca_10000_1_B0,mca_10_1_B0,minc_16_1M_B0,minc_32_1M_B0,minc_4_1M_B0,minelev_16_1_B0,minelev_32_1_B0,minelev_4_1_B0,morpfeat_16_1_B0,morpfeat_32_1_B0,morpfeat_4_1_B0,msp_10k_B0,nh_10k_B0,no_256_10k_B0,no_2_10k_B0,no_32_10k_B0,perctelev_16_100_B0,perctelev_32_100_B0,perctelev_4_100_B0,pisrdif_2023-01-22_10k_B0,pisrdif_2023-02-22_10k_B0,pisrdif_2023-03-22_10k_B0,pisrdif_2023-04-22_10k_B0,pisrdif_2023-05-22_10k_B0,pisrdif_2023-06-22_10k_B0,pisrdif_2023-12-22_10k_B0,pisrdir_2023-01-22_1k_B0,pisrdir_2023-02-22_1k_B0,pisrdir_2023-03-22_1k_B0,pisrdir_2023-04-22_1k_B0,pisrdir_2023-05-22_1k_B0,pisrdir_2023-06-22_1k_B0,pisrdir_2023-12-22_1k_B0,planc_16_100k_B0,planc_32_100k_B0,planc_4_100k_B0,po_256_10k_B0,po_2_10k_B0,po_32_10k_B0,profc_16_1M_B0,profc_32_1M_B0,profc_4_1M_B0,relelev_16_10_B0,relelev_32_10_B0,relelev_4_10_B0,relmeanelev_16_100_B0,relmeanelev_32_100_B0,relmeanelev_4_100_B0,sl_16_100_B0,sl_32_100_B0,sl_4_100_B0,slh_10_B0,spi_10_B0,stddevelev_16_100_B0,stddevelev_32_100_B0,stddevelev_4_100_B0,stdh_10_B0,swi_10000_1k_B0,swi_10_1k_B0,tpi_32_1k_B0,tpi_4_1k_B0,tri_16_100_B0,tri_32_100_B0,tri_4_100_B0,tsc_16_100_B0,tsc_32_100_B0,tsc_4_100_B0,twi_1k_B0,vlyd_10_B0,vrm_16_100k_B0,vrm_32_100k_B0,vrm_4_100k_B0,.geo
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.87547003050033,,,,-141.39398340748585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-141.39398340748585,53.87547003050033]}"
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.36403716941804,,,,-163.70164719886515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-163.70164719886515,64.36403716941804]}"
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.51862491771272,,,,-143.78459603630807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-143.78459603630807,59.51862491771272]}"
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3624270576389,,,,-147.86340746889374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-147.86340746889374,55.3624270576389]}"
4,3061,3251,3109,212.8988494873047,212.8988494873047,3458,-597,3184,199,-79,892,70,899,333,643,231,203,110,63,2570,2691,2831,,76,6,7,6,5,6,4285,59.51596516998538,-20,-31,151,-156.85730980931422,206,-12,949,7363,2198,2739,306.4837341308594,43752.265625,-26,-97,94,70,69,74,5,1,5,436,4762,15383,15573,15477,7647,5940,6862,2353,5877,9252,10660,12835,14289,1746,135,667,2049,4072,5484,6038,36,-1120,1032,-2546,15640,15842,15761,-20,-31,151,60,71,21,203,110,63,102,44,200,34,93,226,332,98,350,6558,11504,864,1594,304,350,117,4961,4915,5812,8487,37,68,158,35,"{""type"":""Point"",""coordinates"":[-156.85730980931422,59.51596516998538]}"
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.48743185081929,,,,-134.41613853098514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-134.41613853098514,63.48743185081929]}"
6,2976,3271,2608,583.818603515625,583.818603515625,116,-3481,1654,572,-339,4345,2729,571,59,456,422,927,109,366,12251,13429,15077,,326,6,6,6,6,6,4588,65.97762783055704,-396,-214,4168,-159.89760046764937,1012,-212,5449,9741,6924,17758,583.818603515625,583.818603515625,-836,-341,3065,295,290,307,3,3,5,4238,7119,13673,15036,14410,7072,5165,5735,1052,3545,8032,9803,13573,14645,151,14,398,1723,3755,5291,5943,0,-416,629,-1446,14898,16379,15918,-385,-213,3661,309,364,195,927,109,366,783,309,1673,230,1898,1622,1849,803,2325,5189,5189,7917,7862,1868,1852,882,4409,4491,7709,7493,93,2420,2396,1404,"{""type"":""Point"",""coordinates"":[-159.89760046764937,65.97762783055704]}"
7,2291,2646,2231,186.53392028808594,186.53392028808594,85,-627,2251,58,-51,934,989,585,181,631,196,182,78,89,3896,5336,5180,,198,5,6,5,5,5,4712,61.79675397756429,-92,16,101,-149.8654892186936,210,18,1283,8777,4210,6782,255.15191650390625,2499.871337890625,-244,-53,-246,188,188,194,2,1,5,387,5188,15091,15441,15212,7831,5892,6912,1970,5115,8863,10393,13197,14529,1237,115,683,2138,4215,5638,6197,19,-277,290,-1894,15481,15974,15730,-92,16,101,95,98,30,182,78,89,119,101,282,35,185,312,435,140,1026,5549,7826,791,791,362,442,166,5117,5108,5705,7535,32,325,322,125,"{""type"":""Point"",""coordinates"":[-149.8654892186936,61.79675397756429]}"
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.80035540020097,,,,-144.2472420612731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-144.2472420612731,54.80035540020097]}"
9,2700,2700,2700,100.0,100.0,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,4,0,1,1,1,1,1,4500,64.58671012361211,0,0,0,-163.24578770431205,0,0,0,0,0,0,7.7962696E7,7.7962696E7,0,0,0,0,0,0,1,1,1,9472,263,15707,15707,15707,0,0,0,1420,4224,8641,10458,14062,15289,521,17,363,1533,3565,5102,5785,0,0,0,0,15707,15707,15707,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,24522,24522,1,0,0,0,0,0,0,0,11512,4185,0,0,0,"{""type"":""Point"",""coordinates"":[-163.24578770431205,64.58671012361211]}"
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.517226522175115,,,,-168.87857819891605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-168.87857819891605,63.517226522175115]}"
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.677635923001375,,,,-162.94988871070746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-162.94988871070746,63.677635923001375]}"
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.45240346305135,,,,-149.08836697097715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-149.08836697097715,57.45240346305135]}"
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.38545176618422,,,,-135.2880909013146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-135.2880909013146,68.38545176618422]}"
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.19342352610917,,,,-147.21645940676018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-147.21645940676018,57.19342352610917]}"
15,1926,2181,1987,432.37811279296875,432.37811279296875,3579,4797,1462,1546,1230,2768,2172,645,1001,200,327,1163,3753,110,12500,2495,3698,,718,4,3,3,3,6,5303,60.533064622621026,673,795,956,-158.5750028846823,1823,1301,2783,6953,2691,3710,432.37811279296875,432.37811279296875,396,724,941,641,566,706,5,5,5,9205,9602,14219,15583,15179,6713,8064,5628,2102,5246,8535,9797,12126,13433,1492,281,1129,2857,4951,6273,6751,91,-930,-952,-1317,15469,15832,15548,646,775,896,776,1519,123,1163,3753,110,943,736,1186,1267,996,1801,3749,550,6921,5228,5228,2549,979,2144,5305,561,6515,6054,7788,7531,52,1903,4680,401,"{""type"":""Point"",""coordinates"":[-158.5750028846823,60.533064622621026]}"
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.30300968306295,,,,-160.2013857098574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-160.2013857098574,54.30300968306295]}"
17,2204,1343,1799,1182.812255859375,1182.812255859375,2436,1178,-2361,38,12,-109,20,473,733,-320,782,18,42,-2,188,-59,-95,,173,1,1,1,1,1,4519,66.99723319933602,36,4,22,-146.34549314309837,47,13,28,-733,-78,-79,3789.799560546875,55198.9140625,27,4,-115,172,171,173,1,1,2,3531,6765,15666,15710,15705,6557,7443,3584,820,3266,8156,10132,14281,15574,0,1,248,1307,3351,4985,5741,0,-2215,-756,3658,15685,15705,15695,36,4,22,12,18,1,18,42,-2,9,9,17,26,42,38,57,8,1558,11517,14196,54,-44,42,71,9,4502,4672,1416,12703,12,7,7,0,"{""type"":""Point"",""coordinates"":[-146.34549314309837,66.99723319933602]}"
18,1979,1855,2012,2954.659912109375,2954.659912109375,-2334,-1021,-760,-1209,-308,-1201,2310,-352,-358,-196,2302,-735,-1294,-127,-7812,-5446,-5519,,571,6,6,6,6,6,5615,67.22132627609311,101,0,-1213,-147.93926305039798,102,136,-755,-8746,-4388,-7332,2954.659912109375,2954.659912109375,-1210,-444,-1658,534,503,560,3,3,3,3476,6738,15542,15980,15649,3682,3461,4444,740,3138,7755,9660,13580,14887,0,7,517,2064,4318,5783,6403,0,576,172,479,14761,15435,15097,95,0,-1107,363,673,104,-735,-1294,-127,1184,1016,1405,973,7830,2087,3615,649,4238,7015,7015,-2629,-2665,2213,3840,661,4400,4930,2563,9318,471,791,1157,118,"{""type"":""Point"",""coordinates"":[-147.93926305039798,67.22132627609311]}"
19,1008,1062,1454,1250.9952392578125,1250.9952392578125,764,-423,-1656,2840,703,-4493,1646,24,-25,-326,1401,98,-171,-305,-3754,-10672,-12853,,1604,6,6,6,6,6,6607,61.27760268424814,-1638,-1199,-2393,-142.30560762791717,3009,713,1804,-9197,-6061,-13747,1250.9952392578125,1250.9952392578125,-1807,-1208,-8690,1504,1477,1589,5,5,4,8868,565,14335,16241,15602,5510,5794,3458,1877,4729,7686,8684,11011,12145,1282,436,1376,2992,5703,6912,7301,132,-808,-217,1329,13960,15174,14317,-1376,-1033,-2034,1007,1271,152,98,-171,-305,1936,1791,1868,82,4858,3983,6838,935,2195,5776,5776,-1140,-1140,3984,6840,983,5044,5165,4265,8079,1371,6793,7402,3149,"{""type"":""Point"",""coordinates"":[-142.30560762791717,61.27760268424814]}"
20,2862,2867,267,326.0606994628906,326.0606994628906,-20,-622,-2070,-13,-12,-22,-34,-121,185,-237,277,-11,40,-4,116,-151,-138,9,436,9,6,8,1,2,4452,65.89934063991723,62,36,-255,-137.99679200802916,65,36,17,-1619,-261,-287,37088.29296875,111837.1484375,-16,-13,-296,431,430,436,1,1,3,6087,1956,15619,15715,15680,3041,4082,4441,1097,3646,8182,9945,13760,14845,175,6,306,1444,3520,5141,5889,0,189,129,332,15630,15700,15667,62,36,-255,52,61,4,-11,40,-4,41,57,35,34,26,90,220,20,2985,13034,14137,-66,-72,91,224,21,4795,4748,4107,10603,142,25,31,9,"{""type"":""Point"",""coordinates"":[-137.99679200802916,65.89934063991723]}"
21,1728,1567,1964,3242.72412109375,3242.72412109375,367,-1436,650,97,-93,893,1307,12,-320,64,781,23,-1718,30,-2357,444,859,,1117,9,7,9,5,6,5241,69.14965763595976,-534,-1476,-353,-143.7379025375346,107,-79,1018,591,-70,-137,3242.72412109375,3242.72412109375,-544,-1490,-478,1080,1073,1107,2,3,4,9307,346,15161,15685,15406,5386,5192,5188,249,2450,7253,9491,13310,15410,0,0,0,0,3991,5561,6107,0,-53,38,-490,14925,15730,15492,-509,-1355,-336,363,436,92,23,-1718,30,1027,1361,1032,176,5135,1783,5365,472,386,7622,7622,-501,166,1783,5633,473,4609,4588,5746,9926,4912,867,5211,79,"{""type"":""Point"",""coordinates"":[-143.7379025375346,69.14965763595976]}"
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.99064453321913,,,,-130.9703967074265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-130.9703967074265,67.99064453321913]}"
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.68497508852324,,,,-141.07101602463456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-141.07101602463456,53.68497508852324]}"
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.51622954422733,,,,-167.1429842888576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-167.1429842888576,70.51622954422733]}"
25,3197,534,416,1532.9019775390625,1532.9019775390625,698,1333,-2726,7,12,-107,-94,-63,526,-589,429,-3,45,-12,-286,-759,-766,,24,2,2,1,2,4,4500,63.1334515023829,49,20,-32,-158.03786857776728,68,20,207,-5118,-943,-1030,9085.6494140625,117350.25,-12,12,-347,23,21,24,1,1,4,8371,814,15657,15745,15717,4232,7488,3130,1730,4724,8821,10526,13742,15036,908,40,447,1693,3727,5220,5865,2,-211,-1643,1628,15629,15669,15640,49,20,-32,8,31,2,-3,45,-12,20,4,37,18,154,54,86,22,153,11403,13962,-375,-380,54,97,25,4141,3651,3388,11953,206,11,28,6,"{""type"":""Point"",""coordinates"":[-158.03786857776728,63.1334515023829]}"
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.36747092202315,,,,-153.48361697764537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-153.48361697764537,58.36747092202315]}"
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.673443913825935,,,,-153.04476912026905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-153.04476912026905,54.673443913825935]}"
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.51627266907141,,,,-144.85596482901877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-144.85596482901877,54.51627266907141]}"
29,340,271,3440,3423.78955078125,3423.78955078125,-1426,-2818,-2775,-17,-15,-52,15,-388,-673,-472,2015,-46,-212,-7,-448,976,200,,401,9,9,9,1,1,4457,67.36130043582035,-123,-94,-225,-146.39037643689466,-14,-13,-12,5769,1207,1355,889393.0625,2897987.5,-126,-97,-266,400,399,401,3,1,2,9650,174,15641,15659,15642,3334,2208,2822,724,3089,7970,9886,14048,15466,0,0,231,1283,3346,5021,5804,0,187,111,2147,15596,15756,15662,-123,-94,-225,12,18,1,-46,-212,-7,53,79,14,16,40,119,315,15,1242,16128,17309,449,449,128,380,17,4961,4810,5136,9729,930,32,32,5,"{""type"":""Point"",""coordinates"":[-146.39037643689466,67.36130043582035]}"
30,1104,1172,1278,333.6346130371094,333.6346130371094,2272,726,24,0,10,9,-46,791,919,267,256,65,111,7,959,141,243,,691,1,1,1,1,1,4531,62.66839279303261,75,-2,290,-145.11369928808247,89,10,318,1715,202,206,4390.248046875,17136.072265625,-14,-3,-18,688,688,690,2,1,3,4036,2981,15592,15700,15673,7499,7907,5139,1782,4700,8430,9859,12807,14024,1022,65,543,1916,4030,5546,6202,6,3,-216,-92,15688,15715,15697,75,-2,290,31,35,11,65,111,7,24,27,56,20,29,82,120,29,4838,10795,12157,70,30,105,164,30,5447,4950,6832,10614,48,30,30,4,"{""type"":""Point"",""coordinates"":[-145.11369928808247,62.66839279303261]}"
31,1277,2262,1147,515.244873046875,515.244873046875,921,-595,-3051,7,-5,420,-215,-1673,-2157,-664,663,-152,-176,-84,-3910,-4882,-5117,,6,5,5,5,5,6,4914,62.02222796465654,-29,-7,-1933,-162.97652883261986,13,5,422,-8694,-4083,-6477,1565.2994384765625,831661.375,-35,-17,-1935,6,6,6,1,1,5,9540,229,15529,15952,15767,1157,762,3951,1944,5104,8973,10589,13496,14844,1185,91,597,1971,4019,5453,6036,11,-251,1305,-1198,15138,15463,15255,-29,-7,-1929,4,4,4,-152,-176,-84,17,2,200,13,446,91,81,126,-4,7496,13771,-2110,-2110,178,194,151,5701,5308,4345,8689,585,78,50,209,"{""type"":""Point"",""coordinates"":[-162.97652883261986,62.02222796465654]}"
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.12445389293297,,,,-143.21437878865612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-143.21437878865612,56.12445389293297]}"
33,842,735,818,9166.5849609375,9166.5849609375,-1589,-3004,12,-31,32,23,-363,-145,-719,67,3111,-51,-375,7,-1578,58,158,,178,6,7,8,7,6,4568,66.64838952592194,-156,-199,212,-151.98676024141443,-22,35,227,585,62,62,9166.3818359375,48920.921875,-165,-202,9,173,172,176,1,3,1,7541,1229,15638,15705,15639,4968,2963,4938,910,3401,8209,10146,14209,15344,0,2,254,1308,3342,4970,5724,0,87,-260,-56,15480,15710,15655,-156,-199,212,50,64,20,-51,-375,7,203,71,239,29,4049,354,522,108,1075,9936,11611,-299,70,357,643,108,3811,4503,5862,12243,208,90,192,2,"{""type"":""Point"",""coordinates"":[-151.98676024141443,66.64838952592194]}"
34,2446,2377,2235,30671.041015625,30671.041015625,-2051,-2782,-238,-50,-56,-32,172,-167,-482,66,3409,-21,-137,3,-392,113,80,,52,1,8,9,6,6,4544,63.66680746842205,-37,-33,116,-157.93875616759158,-35,-32,190,1260,141,143,86620.4140625,547806.4375,-52,-57,-106,50,47,50,1,1,4,9159,420,15664,15702,15681,4655,3447,4730,1618,4532,8732,10465,13818,15080,769,35,442,1696,3744,5246,5896,1,392,424,183,15625,15713,15689,-37,-33,116,19,41,11,-21,-137,3,73,76,101,16,5314,129,285,46,160,13113,14957,-169,60,131,316,46,3926,4069,5936,14398,372,8,28,1,"{""type"":""Point"",""coordinates"":[-157.93875616759158,63.66680746842205]}"
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.28146998052147,,,,-161.48176126641968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-161.48176126641968,56.28146998052147]}"
36,1918,2299,1873,432.1236877441406,432.1236877441406,-1989,-3368,1339,544,-1012,10684,5718,-136,-673,34,326,-683,-3883,85,-17528,-10985,-3728,,536,6,6,6,6,6,9253,56.11622369916961,-4689,-1076,376,-159.5592050378552,792,292,11063,-9078,-7567,-27974,432.1236877441406,432.1236877441406,-4937,-2381,-3,467,455,496,5,3,5,407,5254,13311,16257,14618,5306,2863,5180,2225,5333,7452,8315,9193,10412,1846,0,0,4108,5929,6247,6252,0,-119,640,-1121,11558,15158,14245,-3536,-1037,143,694,813,401,-683,-3883,85,2445,897,4360,418,5546,4989,5763,2513,2814,3517,3517,-4992,-4949,5036,6950,2515,3942,4557,4790,5820,375,14301,14513,3650,"{""type"":""Point"",""coordinates"":[-159.5592050378552,56.11622369916961]}"
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.12218621893777,,,,-166.30964474684117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-166.30964474684117,57.12218621893777]}"
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.14415364590513,,,,-144.8698829093111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-144.8698829093111,70.14415364590513]}"
39,2700,1345,2700,100.0,100.0,,-5268,,0,-9,0,0,0,-123,0,100,0,-30,0,0,0,0,6,0,1,8,8,1,1,4500,57.79951288188415,0,-49,0,-134.95856281148158,0,-9,0,0,0,0,1500039.0,1678026.125,0,-49,0,0,0,0,1,1,1,9588,205,15707,15707,15707,0,0,0,2593,6402,9506,10830,12509,14025,2074,231,848,2326,4334,5691,6178,89,0,268,0,15707,15707,15707,0,-49,0,0,0,0,0,-30,0,0,19,0,128,0,0,242,0,-62,20571,20683,0,0,0,244,0,6,248,0,11512,6118,0,181,0,"{""type"":""Point"",""coordinates"":[-134.95856281148158,57.79951288188415]}"
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.23893073301645,,,,-141.8909243965753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-141.8909243965753,56.23893073301645]}"
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.96264224650481,,,,-130.27477662940612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-130.27477662940612,64.96264224650481]}"
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.93811688571853,,,,-136.57265252824496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-136.57265252824496,53.93811688571853]}"
43,2296,1959,2507,649.7837524414062,649.7837524414062,3753,5646,210,101,94,171,382,459,955,-62,563,85,384,-5,1206,-160,-231,,585,5,4,6,6,6,4463,61.42283672801733,125,125,-231,-154.65437811837813,188,137,217,-1903,-230,-235,649.7837524414062,42627.65625,38,82,-277,579,569,584,3,5,3,1311,5655,15481,15715,15645,6547,8676,5176,2011,5150,8660,10023,12652,13956,1319,108,644,2078,4178,5643,6247,19,-594,-622,-533,15602,15699,15622,125,125,-231,61,166,15,85,384,-5,97,86,184,173,286,186,402,84,3535,7292,11476,159,-34,205,556,84,6611,5999,6438,9599,132,27,58,6,"{""type"":""Point"",""coordinates"":[-154.65437811837813,61.42283672801733]}"
44,3545,3140,137,2757.306884765625,2757.306884765625,-1403,-1763,997,-2203,-107,5855,-4843,-82,-191,169,934,-474,-1788,318,-1812,6387,9763,,1050,6,6,5,6,6,2598,56.535775297809366,-476,-309,1379,-131.7432137524274,-135,-103,8229,7761,5136,10790,2757.306884765625,2757.306884765625,-2545,-314,-994,932,792,1006,3,3,5,3145,3427,13734,15388,14340,4804,4465,5188,2307,5689,7911,8754,9783,11104,1955,0,0,0,726,3019,3664,0,376,24,-816,13552,16027,15316,-306,-236,740,1178,2580,446,-474,-1788,318,3035,2390,3558,635,20457,5779,9333,1875,3601,5916,5916,662,1186,5798,9502,1901,5217,4945,6590,8219,1219,4875,13307,1640,"{""type"":""Point"",""coordinates"":[-131.7432137524274,56.535775297809366]}"
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.140276039823696,,,,-146.4683701433995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-146.4683701433995,58.140276039823696]}"
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.878089526992106,,,,-155.7458348722512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-155.7458348722512,56.878089526992106]}"
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.384009484783405,,,,-166.79958218727677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-166.79958218727677,63.384009484783405]}"
48,2363,2245,2733,503.4085998535156,503.4085998535156,2938,3214,825,5314,2139,4034,3914,511,596,93,454,2674,7427,144,22429,-1021,1700,,2108,6,5,5,5,6,4072,62.14511502549646,-190,903,658,-143.72882670916016,5480,3134,5162,-8662,-3735,-5923,503.4085998535156,503.4085998535156,-356,-90,-469,1978,1740,2079,5,5,5,7203,8601,12328,15759,14743,6858,7165,5284,1594,4075,6768,7609,9892,10835,1011,57,604,2361,4071,5150,5757,12,-1167,-362,-686,14571,15656,14913,-143,576,422,1292,3672,286,2674,7427,144,2446,3057,3042,1347,3799,5234,12456,1536,18686,4198,4198,3656,599,5878,14502,1543,5192,4728,5553,6501,218,11320,11315,1602,"{""type"":""Point"",""coordinates"":[-143.72882670916016,62.14511502549646]}"
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.70808085860111,,,,-165.12727665525384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-165.12727665525384,67.70808085860111]}"
